Orphanet;MeSH;OMIM;MedDRA;UMLS;ICD-10
ORPHA:481;-;313200;10068600;C1839259;G12.2
ORPHA:482;D000796;-;10048640;C0033838;I89.8
ORPHA:483;-;228960;-;C0272340;D68.8
ORPHA:485;C537207;156550;-;C0265279;Q77.7
ORPHA:486;-;257100;-;-;D70
ORPHA:487;-;245200;10023492;C0023521;E75.2
ORPHA:488;D014496;-;10065375;C0041915;Q64.4
ORPHA:490;-;-;-;-;Q43.0
ORPHA:492;-;-;-;-;L72.1
ORPHA:493;-;-;-;C0546476;L85.8
ORPHA:494;-;124500;-;C0265964;Q82.8
ORPHA:495;-;133200;-;C1851479;Q82.8
ORPHA:496;-;-;-;-;-
ORPHA:498;-;-;-;-;L85.8
ORPHA:499;C536165;-;-;C0276742;B35.0
ORPHA:500;D044542;613707;10062901;C2931424;Q87.1
ORPHA:501;D020192;254780;10054030;C0751783;G40.3
ORPHA:502;D015826;150230;10050638;C2931237;Q87.8
ORPHA:503;-;150250;-;C0175778;Q74.8
ORPHA:504;D007815;-;10059547;C1562462;B87.0
ORPHA:505;-;-;-;-;L66.1
ORPHA:506;D007888;256000;10062950;C0023264;G31.8
ORPHA:507;D007896;608207;10024198;C0023281;B55.2
ORPHA:508;-;246200;-;C0265344;E34.8
ORPHA:509;D007922;-;10024238;C0023364;A27.8
ORPHA:510;D007926;300322;10057589;C0023374;E79.1
ORPHA:511;D008375;248600;10026817;C0024776;E71.0
ORPHA:512;C538597;156310;10067609;C2713319;E75.2
ORPHA:513;-;247640;-;C0023449;C91.0
ORPHA:514;D007948;-;10000871;C1318544;C92.7
ORPHA:517;D015479;-;10000890;C0023479;C92.5
ORPHA:518;-;-;-;C0023462;C94.2
ORPHA:519;D015470;601626;10000880;C0023467;C92.0
ORPHA:520;D015473;612376;10001019;C0023487;C92.4
ORPHA:521;-;608232;10009013;C0023473;C92.1
ORPHA:523;-;150800;-;C1708350;C64
ORPHA:524;D016864;609266;10066795;C0085390;D48.9
ORPHA:525;C535892;-;-;C0023645;L66.1
ORPHA:526;D056929;618114;10052313;C0221043;I15.1
ORPHA:528;-;269700;10024603;C0221032;E88.1
ORPHA:529;-;-;-;-;E88.2
ORPHA:530;-;247100;-;C0023795;E78.8
ORPHA:531;D054221;247200;10068361;C0265219;Q04.3
ORPHA:533;D008088;-;10024641;C0023860;A32.1
ORPHA:534;D009800;309000;10051707;C0028860;E72.0
ORPHA:535;D008178;-;10056509;C0024137;L93.0
ORPHA:536;D008180;-;-;-;M32.0
ORPHA:537;-;-;-;C0014518;L51.2
ORPHA:538;D018192;606690;10049459;C0751674;D48.7
ORPHA:540;-;267700;10070904;C0272199;D76.1
ORPHA:541;D054446;-;10065863;C1301362;C86.6
ORPHA:542;-;-;10051708;C1302772;-
ORPHA:543;D008228;113970;10006595;C0006413;C83.7
ORPHA:544;D016403;-;10012818;C0079744;C83.3
ORPHA:545;D008224;613024;-;C0024301;C82.4
ORPHA:547;D008228;605027;10029547;C0024305;-
ORPHA:548;D007918;607572;10024229;C0023343;A30.1
ORPHA:549;D007876;-;10061266;C0023241;A48.1
ORPHA:550;D017241;540000;10053872;C0162671;G71.3
ORPHA:551;D017243;545000;10069825;C0162672;G71.3
ORPHA:552;-;606394;-;C0342276;E11.9
ORPHA:553;D003480;-;10020562;C0010481;E24.0
ORPHA:556;-;-;-;-;-
ORPHA:557;C537771;107100;-;C3495676;Q42.3
ORPHA:558;D008382;154700;10026829;C0024796;Q87.4
ORPHA:559;-;248800;-;C0024814;G11.1
ORPHA:560;C536025;154780;-;C0265235;Q87.0
ORPHA:561;C536026;602535;-;C0265211;Q87.3
ORPHA:562;D005359;174800;-;C0242292;Q78.1
ORPHA:563;-;-;10049430;C0877208;O90.3
ORPHA:564;-;607361;-;C0265215;Q61.9
ORPHA:565;-;309400;10027294;C0022716;E83.0
ORPHA:566;C537550;156600;-;C1303009;-
ORPHA:567;D058165;192430;10066430;C0012236;D82.1
ORPHA:568;-;309800;-;C0796016;Q11.2
ORPHA:569;-;602481;-;-;G43.1
ORPHA:570;D020331;157900;10030069;C0221060;Q87.0
ORPHA:572;-;209920;-;C2931418;D81.7
ORPHA:573;D056734;158000;-;C0546966;Q84.1
ORPHA:574;-;-;-;C0795875;Q93.0
ORPHA:575;-;191900;10064569;C0268390;E85.0
ORPHA:576;C538602;252500;-;C0020725;E77.0
ORPHA:577;-;252600;-;C0033788;E77.0
ORPHA:578;-;252650;-;C0238286;E75.1
ORPHA:579;D008059;607014;10056886;C0023786;E76.0
ORPHA:580;D016532;309900;10056889;C0026705;E76.1
ORPHA:581;D009084;252930;10056890;C0026706;E76.2
ORPHA:582;D009085;253000;10028095;C0086651;E76.2
ORPHA:583;D009087;253200;10056892;C0026709;E76.2
ORPHA:584;D016538;253220;10056893;C0085132;E76.2
ORPHA:585;-;272200;-;C1720864;E75.2
ORPHA:586;D003550;219700;10011762;C0010674;E84.1
ORPHA:587;D055653;158320;10063042;C1321489;L72.8
ORPHA:588;-;236670;-;C0457133;Q04.3
ORPHA:589;D009157;254200;10028417;C0026896;G70.0
ORPHA:590;D020294;254210;-;C0751882;G70.2
ORPHA:591;-;-;-;C2931766;B87.0
ORPHA:592;C537829;-;-;C2931639;M60.8
ORPHA:593;-;-;-;C2678065;G71.8
ORPHA:595;-;-;-;C0175709;G71.2
ORPHA:596;C538647;310400;-;C0410203;G71.2
ORPHA:597;-;117000;-;C0751951;G71.2
ORPHA:598;-;117000;-;C0270962;G71.2
ORPHA:599;-;-;-;C0751336;G71.0
ORPHA:600;-;606070;-;-;G71.0
ORPHA:602;C536816;605820;-;C1833373;G71.8
ORPHA:603;C536690;604454;-;C0221054;G71.0
ORPHA:606;D020967;602668;-;C2931689;G71.1
ORPHA:607;D017696;-;-;C0206157;G71.2
ORPHA:609;C536815;600334;-;C1450052;G71.0
ORPHA:610;C535436;158810;-;C1834674;G71.0
ORPHA:611;-;147421;10066407;C0238190;M60.8
ORPHA:612;C538353;608390;-;C2931826;G71.1
ORPHA:614;-;160800;10028655;C0027127;G71.1
ORPHA:615;C538262;255960;-;C1850635;D15.1
ORPHA:616;D008527;155255;10027107;C0025149;C71.6
